# energy-resolved COHP curves
# source /data/work/runs/icohp_n5fu/COHPCAR.lobster  ·  Gaussian sigma 0.1 eV  ·  window [-20.0, 6.0] eV, stride 1
# sign: -pCOHP > 0 = BONDING, < 0 = ANTIBONDING;  E = E - E_F (E_F at 0)
# mean_ = per-bond average (integral to E_F == -ICOHP/bond); sum_ = family convention (plot_lobster_4panel.py)
# {"P-S": {"N": 9, "ICOHP_per_bond_eV": -6.2883, "ICOHP_in_window_eV": -5.2654, "window_coverage": 0.8373, "integral_to_EF_eV": 5.2586, "dmax_A": 2.6, "exclude": ["Li"]}, "P-O": {"N": 3, "ICOHP_per_bond_eV": -8.4156, "ICOHP_in_window_eV": -2.8184, "window_coverage": 0.3349, "integral_to_EF_eV": 2.8154, "dmax_A": null, "exclude": []}, "Nd-S": {"N": 10, "ICOHP_per_bond_eV": -4.0803, "ICOHP_in_window_eV": -3.5498, "window_coverage": 0.87, "integral_to_EF_eV": 3.5498, "dmax_A": null, "exclude": []}, "Nd-Cl": {"N": 2, "ICOHP_per_bond_eV": -2.1889, "ICOHP_in_window_eV": -1.082, "window_coverage": 0.4943, "integral_to_EF_eV": 1.082, "dmax_A": null, "exclude": []}, "Li-S": {"N": 113, "ICOHP_per_bond_eV": -1.7512, "ICOHP_in_window_eV": -1.6511, "window_coverage": 0.9429, "integral_to_EF_eV": 1.6506, "dmax_A": null, "exclude": []}, "Li-Cl": {"N": 47, "ICOHP_per_bond_eV": -1.8051, "ICOHP_in_window_eV": -0.8121, "window_coverage": 0.4499, "integral_to_EF_eV": 0.8121, "dmax_A": null, "exclude": []}, "Li-O": {"N": 18, "ICOHP_per_bond_eV": -1.1282, "ICOHP_in_window_eV": -0.5376, "window_coverage": 0.4765, "integral_to_EF_eV": 0.5378, "dmax_A": null, "exclude": []}, "S-S": {"N": 39, "ICOHP_per_bond_eV": -0.1184, "ICOHP_in_window_eV": -0.1353, "window_coverage": 1.1427, "integral_to_EF_eV": 0.1354, "dmax_A": null, "exclude": ["P", "Li", "Cl"]}}
# ⚠ window_coverage: 이 창 안에 담긴 ICOHP 비율. 1 보다 작으면 창 아래(deep) 결합 기여가 곡선에 없다 — 곡선 적분으로 ICOHP 를 재현할 수 없다.
E_minus_EF_eV,mean_pCOHP_P-S,mean_pCOHP_P-O,mean_pCOHP_Nd-S,mean_pCOHP_Nd-Cl,mean_pCOHP_Li-S,mean_pCOHP_Li-Cl,mean_pCOHP_Li-O,mean_pCOHP_S-S,sum_pCOHP_P-S,sum_pCOHP_P-O,sum_pCOHP_Nd-S,sum_pCOHP_Nd-Cl,sum_pCOHP_Li-S,sum_pCOHP_Li-Cl,sum_pCOHP_Li-O,sum_pCOHP_S-S
-12.6274,0.0000,0.0000,0.0002,-0.0000,0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,0.0022,-0.0000,0.0072,0.0001,0.0000,-0.0005
-12.5773,0.0000,0.0000,0.0011,-0.0001,0.0003,0.0000,0.0000,-0.0001,0.0002,0.0000,0.0115,-0.0001,0.0389,0.0006,0.0000,-0.0028
-12.5272,0.0001,0.0000,0.0048,-0.0003,0.0014,0.0001,0.0000,-0.0003,0.0007,0.0001,0.0476,-0.0005,0.1637,0.0025,0.0000,-0.0116
-12.4771,0.0002,0.0001,0.0157,-0.0008,0.0049,0.0002,0.0000,-0.0010,0.0022,0.0003,0.1569,-0.0017,0.5498,0.0078,0.0001,-0.0377
-12.4270,0.0006,0.0002,0.0416,-0.0022,0.0133,0.0004,0.0000,-0.0025,0.0055,0.0007,0.4163,-0.0043,1.5022,0.0188,0.0001,-0.0976
-12.3769,0.0013,0.0005,0.0910,-0.0045,0.0303,0.0007,0.0000,-0.0053,0.0114,0.0014,0.9102,-0.0089,3.4195,0.0346,0.0001,-0.2051
-12.3268,0.0022,0.0008,0.1696,-0.0077,0.0592,0.0010,-0.0000,-0.0092,0.0194,0.0025,1.6960,-0.0154,6.6932,0.0477,-0.0002,-0.3601
-12.2767,0.0032,0.0012,0.2806,-0.0117,0.1029,0.0010,-0.0001,-0.0141,0.0287,0.0037,2.8056,-0.0233,11.6221,0.0455,-0.0011,-0.5494
-12.2266,0.0043,0.0016,0.4282,-0.0164,0.1623,0.0004,-0.0001,-0.0195,0.0388,0.0049,4.2816,-0.0327,18.3423,0.0211,-0.0027,-0.7621
-12.1765,0.0056,0.0020,0.6165,-0.0219,0.2359,-0.0004,-0.0003,-0.0254,0.0508,0.0060,6.1648,-0.0437,26.6560,-0.0186,-0.0046,-0.9887
-12.1264,0.0073,0.0024,0.8445,-0.0274,0.3183,-0.0012,-0.0004,-0.0308,0.0660,0.0072,8.4449,-0.0548,35.9694,-0.0581,-0.0064,-1.2018
-12.0762,0.0095,0.0029,1.1102,-0.0315,0.4043,-0.0019,-0.0004,-0.0347,0.0852,0.0088,11.1023,-0.0629,45.6873,-0.0877,-0.0077,-1.3538
-12.0261,0.0120,0.0037,1.4195,-0.0327,0.4926,-0.0023,-0.0005,-0.0361,0.1081,0.0111,14.1950,-0.0655,55.6676,-0.1101,-0.0088,-1.4081
-11.9760,0.0146,0.0046,1.7752,-0.0313,0.5832,-0.0028,-0.0006,-0.0344,0.1318,0.0139,17.7520,-0.0625,65.9070,-0.1335,-0.0100,-1.3426
-11.9259,0.0168,0.0055,2.1523,-0.0280,0.6703,-0.0035,-0.0006,-0.0284,0.1515,0.0166,21.5227,-0.0560,75.7460,-0.1630,-0.0115,-1.1059
-11.8758,0.0181,0.0060,2.4983,-0.0246,0.7420,-0.0042,-0.0007,-0.0156,0.1630,0.0179,24.9827,-0.0492,83.8513,-0.1988,-0.0127,-0.6101
-11.8257,0.0185,0.0058,2.7632,-0.0229,0.7875,-0.0051,-0.0007,0.0049,0.1667,0.0173,27.6318,-0.0458,88.9868,-0.2380,-0.0123,0.1906
-11.7756,0.0184,0.0050,2.9146,-0.0230,0.7995,-0.0059,-0.0005,0.0310,0.1653,0.0151,29.1461,-0.0461,90.3488,-0.2753,-0.0097,1.2078
-11.7255,0.0177,0.0040,2.9274,-0.0228,0.7733,-0.0064,-0.0003,0.0565,0.1592,0.0121,29.2742,-0.0457,87.3835,-0.3012,-0.0058,2.2041
-11.6754,0.0162,0.0030,2.7851,-0.0198,0.7083,-0.0065,-0.0001,0.0738,0.1462,0.0091,27.8514,-0.0395,80.0365,-0.3049,-0.0022,2.8779
