E_eV,E_minus_Ef,total_dos,Li,P,S,Cl,O,Nd
-40.7160,-44.5470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.7060,-44.5370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6960,-44.5270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6860,-44.5170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6760,-44.5070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6660,-44.4970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6560,-44.4870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6460,-44.4770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6360,-44.4670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6260,-44.4570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6160,-44.4470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.6060,-44.4370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5960,-44.4270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5860,-44.4170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5760,-44.4070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5660,-44.3970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5560,-44.3870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5460,-44.3770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5360,-44.3670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5260,-44.3570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5160,-44.3470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.5060,-44.3370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4960,-44.3270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4860,-44.3170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4760,-44.3070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4660,-44.2970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4560,-44.2870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4460,-44.2770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4360,-44.2670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4260,-44.2570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4160,-44.2470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.4060,-44.2370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3960,-44.2270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3860,-44.2170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3760,-44.2070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3660,-44.1970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3560,-44.1870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3460,-44.1770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3360,-44.1670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3260,-44.1570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3160,-44.1470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.3060,-44.1370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2960,-44.1270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2860,-44.1170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2760,-44.1070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2660,-44.0970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2560,-44.0870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2460,-44.0770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2360,-44.0670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2260,-44.0570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2160,-44.0470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.2060,-44.0370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1960,-44.0270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1860,-44.0170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1760,-44.0070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1660,-43.9970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1560,-43.9870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1460,-43.9770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1360,-43.9670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1260,-43.9570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1160,-43.9470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.1060,-43.9370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0960,-43.9270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0860,-43.9170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0760,-43.9070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0660,-43.8970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0560,-43.8870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0460,-43.8770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0360,-43.8670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0260,-43.8570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0160,-43.8470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-40.0060,-43.8370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9960,-43.8270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9860,-43.8170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9760,-43.8070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9660,-43.7970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9560,-43.7870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9460,-43.7770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9360,-43.7670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9260,-43.7570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9160,-43.7470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.9060,-43.7370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8960,-43.7270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8860,-43.7170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8760,-43.7070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8660,-43.6970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8560,-43.6870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8460,-43.6770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8360,-43.6670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8260,-43.6570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8160,-43.6470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.8060,-43.6370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7960,-43.6270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7860,-43.6170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7760,-43.6070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7660,-43.5970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7560,-43.5870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7460,-43.5770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7360,-43.5670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7260,-43.5570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7160,-43.5470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.7060,-43.5370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6960,-43.5270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6860,-43.5170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6760,-43.5070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6660,-43.4970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6560,-43.4870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6460,-43.4770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6360,-43.4670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6260,-43.4570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6160,-43.4470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.6060,-43.4370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5960,-43.4270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-39.5860,-43.4170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
